============================================================
### UCI-HAR   (seed = 100)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
  AVG     EATA     85.40     82.51     83.33   
  AVG     RoTTA    84.17     84.78     83.64   
  AVG     CoTTA    84.24     84.28     84.10   
============================================================
### OPPORTUNITY   (seed = 100)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain S1 ---
  S1      ERM      83.60     79.90     83.90   
  S1      T3A      85.29     81.96     85.49   
  S1      OFTTA    83.25     80.91     85.23   
  S1      PL       66.94     63.35     68.89   
  S1      TENT     66.24     62.37     68.63   
  S1      LAME     88.83     86.66     90.07   
  S1      SHOT     74.19     71.44     76.23   
  S1      TSD      69.51     66.45     71.02   
  S1      TAST     88.57     84.29     88.72   
  S1      TEA      71.39     68.13     71.88   
  S1      NOTE     67.43     64.59     68.63   
  S1      SOTTA    70.37     67.21     72.48   
  S1      DSOM     91.57     89.09     92.49   
  S1      SAR      70.53     67.47     71.91   
  S1      EATA     70.17     67.63     72.94   
  S1      RoTTA    70.29     67.95     72.31   
  S1      CoTTA    69.30     66.73     71.40   
--- domain S2 ---
  S2      ERM      76.56     72.85     77.09   
  S2      T3A      86.40     82.42     86.38   
  S2      OFTTA    81.53     78.56     83.56   
  S2      PL       68.68     64.92     70.68   
  S2      TENT     68.80     64.66     71.19   
  S2      LAME     77.47     74.75     79.14   
  S2      SHOT     72.38     69.50     74.29   
  S2      TSD      70.60     66.99     72.02   
  S2      TAST     88.50     84.35     89.35   
  S2      TEA      71.54     67.80     72.03   
  S2      NOTE     68.52     65.03     70.01   
  S2      SOTTA    70.35     66.62     72.48   
  S2      DSOM     88.16     84.05     89.20   
  S2      SAR      70.51     66.87     71.97   
  S2      EATA     70.16     67.06     72.89   
  S2      RoTTA    70.27     67.36     72.27   
  S2      CoTTA    69.94     66.84     72.13   
--- domain S3 ---
  S3      ERM      73.60     70.12     74.11   
  S3      T3A      78.75     75.60     78.98   
  S3      OFTTA    76.97     74.71     79.03   
  S3      PL       70.02     66.81     71.88   
  S3      TENT     70.27     66.67     72.50   
  S3      LAME     74.41     71.95     76.09   
  S3      SHOT     73.24     71.28     75.07   
  S3      TSD      71.93     69.35     73.10   
  S3      TAST     79.98     76.35     80.99   
  S3      TEA      72.96     70.44     73.34   
  S3      NOTE     69.55     67.12     70.86   
  S3      SOTTA    71.44     68.70     73.41   
  S3      DSOM     78.04     75.52     79.19   
  S3      SAR      71.53     68.93     72.84   
  S3      EATA     71.26     69.16     73.80   
  S3      RoTTA    71.37     69.46     73.16   
  S3      CoTTA    71.32     69.23     73.26   
--- domain S4 ---
  S4      ERM      76.09     71.75     76.71   
  S4      T3A      86.77     83.21     86.99   
  S4      OFTTA    81.58     78.84     83.79   
  S4      PL       60.01     56.63     62.26   
  S4      TENT     60.00     56.31     62.65   
  S4      LAME     75.20     72.10     76.85   
  S4      SHOT     65.13     62.38     67.52   
  S4      TSD      62.33     59.08     63.98   
  S4      TAST     85.21     81.34     86.24   
  S4      TEA      63.49     60.09     64.23   
  S4      NOTE     60.18     57.26     61.89   
  S4      SOTTA    62.33     58.93     64.73   
  S4      DSOM     86.49     83.07     87.69   
  S4      SAR      62.48     59.20     64.17   
  S4      EATA     62.12     59.34     65.14   
  S4      RoTTA    62.23     59.65     64.50   
  S4      CoTTA    61.61     58.84     64.08   
--- domain AVG ---
  AVG     ERM      77.46     73.65     77.95   
  AVG     T3A      84.30     80.80     84.46   
  AVG     OFTTA    80.83     78.25     82.90   
  AVG     PL       66.41     62.93     68.43   
  AVG     TENT     66.33     62.50     68.74   
  AVG     LAME     78.98     76.36     80.54   
  AVG     SHOT     71.24     68.65     73.28   
  AVG     TSD      68.59     65.47     70.03   
  AVG     TAST     85.57     81.58     86.33   
  AVG     TEA      69.84     66.61     70.37   
  AVG     NOTE     66.42     63.50     67.85   
  AVG     SOTTA    68.62     65.36     70.78   
  AVG     DSOM     86.06     82.93     87.14   
  AVG     SAR      68.76     65.62     70.22   
  AVG     EATA     68.43     65.80     71.19   
  AVG     RoTTA    68.54     66.11     70.56   
  AVG     CoTTA    68.04     65.41     70.22   
============================================================
### PAMAP2   (seed = 100)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 1 ---
  1       ERM      81.27     82.08     82.94   
  1       T3A      79.48     79.01     79.82   
  1       OFTTA    79.02     79.30     81.74   
  1       PL       77.99     78.11     79.58   
  1       TENT     80.50     78.91     81.35   
  1       LAME     83.44     81.98     81.97   
  1       SHOT     78.07     77.52     79.68   
  1       TSD      79.88     78.56     78.60   
  1       TAST     79.95     78.56     79.64   
  1       TEA      79.75     79.43     81.44   
  1       NOTE     77.70     77.49     78.22   
  1       SOTTA    78.86     78.81     79.89   
  1       DSOM     81.99     80.82     83.95   
  1       SAR      79.25     79.21     80.28   
  1       EATA     78.24     76.62     80.82   
  1       RoTTA    79.10     78.40     78.78   
  1       CoTTA    77.20     76.68     79.14   
--- domain 2 ---
  2       ERM      78.35     79.14     80.10   
  2       T3A      87.18     86.66     87.53   
  2       OFTTA    86.16     86.42     88.92   
  2       PL       82.20     82.41     83.86   
  2       TENT     84.35     82.85     85.31   
  2       LAME     81.33     79.85     79.96   
  2       SHOT     82.34     81.91     84.03   
  2       TSD      84.09     82.90     82.88   
  2       TAST     82.51     81.28     82.30   
  2       TEA      83.59     83.34     85.34   
  2       NOTE     82.20     82.06     82.79   
  2       SOTTA    83.14     83.19     84.26   
  2       DSOM     85.96     84.70     88.13   
  2       SAR      83.43     83.46     84.52   
  2       EATA     82.52     80.99     85.16   
  2       RoTTA    83.38     82.77     83.12   
  2       CoTTA    80.55     80.15     82.56   
--- domain 3 ---
  3       ERM      89.82     91.03     91.52   
  3       T3A      87.05     86.97     87.41   
  3       OFTTA    84.80     85.54     87.57   
  3       PL       88.31     88.98     89.89   
  3       TENT     90.31     89.25     91.20   
  3       LAME     92.10     91.04     90.66   
  3       SHOT     88.26     88.29     89.88   
  3       TSD      90.16     89.41     88.87   
  3       TAST     87.93     87.07     87.67   
  3       TEA      89.57     89.78     91.28   
  3       NOTE     88.35     88.66     88.89   
  3       SOTTA    89.18     89.68     90.21   
  3       DSOM     89.86     89.18     91.63   
  3       SAR      89.49     89.99     90.52   
  3       EATA     88.56     87.49     91.16   
  3       RoTTA    89.42     89.28     89.10   
  3       CoTTA    88.07     88.08     90.01   
--- domain 4 ---
  4       ERM      84.81     85.96     86.56   
  4       T3A      86.93     86.81     87.33   
  4       OFTTA    87.30     87.99     90.09   
  4       PL       84.89     85.52     86.51   
  4       TENT     86.87     85.79     87.77   
  4       LAME     87.73     86.68     86.33   
  4       SHOT     84.87     84.88     86.53   
  4       TSD      86.74     85.96     85.47   
  4       TAST     89.09     88.23     88.85   
  4       TEA      86.09     86.26     87.82   
  4       NOTE     84.40     84.69     84.99   
  4       SOTTA    85.76     86.23     86.82   
  4       DSOM     87.48     86.65     89.97   
  4       SAR      86.06     86.52     87.12   
  4       EATA     85.14     84.02     87.76   
  4       RoTTA    86.00     85.81     85.69   
  4       CoTTA    84.48     84.46     86.46   
--- domain 5 ---
  5       ERM      81.92     82.88     83.70   
  5       T3A      85.92     85.64     86.36   
  5       OFTTA    82.23     82.72     85.05   
  5       PL       80.76     81.17     82.41   
  5       TENT     82.84     81.52     83.78   
  5       LAME     85.21     84.00     83.87   
  5       SHOT     80.69     80.45     82.37   
  5       TSD      82.61     81.60     81.37   
  5       TAST     85.77     84.74     85.57   
  5       TEA      82.10     82.05     83.85   
  5       NOTE     77.71     77.82     78.33   
  5       SOTTA    81.61     81.85     82.70   
  5       DSOM     85.07     84.06     87.25   
  5       SAR      81.94     82.18     83.04   
  5       EATA     80.99     79.65     83.64   
  5       RoTTA    81.85     81.44     81.59   
  5       CoTTA    80.03     79.77     82.06   
--- domain AVG ---
  AVG     ERM      83.23     84.22     84.96   
  AVG     T3A      85.31     85.02     85.69   
  AVG     OFTTA    83.90     84.39     86.67   
  AVG     PL       82.83     83.24     84.45   
  AVG     TENT     84.97     83.66     85.88   
  AVG     LAME     85.96     84.71     84.56   
  AVG     SHOT     82.85     82.61     84.50   
  AVG     TSD      84.70     83.69     83.44   
  AVG     TAST     85.05     83.98     84.81   
  AVG     TEA      84.22     84.17     85.95   
  AVG     NOTE     82.07     82.14     82.64   
  AVG     SOTTA    83.71     83.95     84.78   
  AVG     DSOM     86.07     85.08     88.19   
  AVG     SAR      84.03     84.27     85.10   
  AVG     EATA     83.09     81.75     85.71   
  AVG     RoTTA    83.95     83.54     83.66   
  AVG     CoTTA    82.07     81.83     84.05   

============================================================
seed=100  Average-All across UCI-HAR / OPPORTUNITY / PAMAP2
============================================================
Method            Acc  MacroF1   BalAcc
--------------------------------------------
ERM             81.28    80.70    82.40
T3A             85.52    83.92    85.35
OFTTA           83.31    83.13    84.98
PL              78.15    76.29    78.98
TENT            78.17    76.48    79.31
LAME            82.91    81.57    82.99
SHOT            79.28    78.21    81.00
TSD             78.98    77.29    79.03
TAST            85.17    83.79    85.59
TEA             79.60    78.06    79.85
NOTE            77.86    76.29    77.99
SOTTA           78.51    78.07    79.77
DSOM            86.66    84.69    87.42
SAR             78.82    77.71    80.15
EATA            78.98    76.68    80.08
RoTTA           78.89    78.14    79.29
CoTTA           78.12    77.18    79.46
============================================================
